,county,year,NO2_annualMean,NO2_hrOver200,NO_annualMean,O3_annualMean,O3_daysOver120,O3_dailyMaxAnnualMean,O3_dailyHourlyMax,O3_daily8HrMax,PM10_annualMean,PM2_5_annualMean,cases_per_100k,deaths_per_100k,Population_density,Fully_vaccinated
44,LK Altenburger Land,2014,1817077,0.0,1264896,4630928,0,708707,1503718,1455528,2109855,"1,33192E+13",10241.5229299651,354.24872108289196,155.0667953141145,0.621
45,LK Altenburger Land,2015,187801,0.0,1214878,5220431,1,7725757,2163474,1887336,1690067,"1,29442E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
46,LK Altenburger Land,2016,1821184,0.0,1176414,477379,0,7172524,1918122,1726664,155824,"1,29419E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
47,LK Altenburger Land,2017,1850384,0.0,1106897,4942882,0,7276489,1540002,1466144,1613689,"1,29418E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
48,LK Altenburger Land,2018,172217,0.0,9291706,5418713,0,8116082,1810046,1605275,176619,"1,30314E+14",10241.5229299651,354.24872108289196,155.0667953141145,0.621
49,LK Altenburger Land,2019,1481205,0.0,6207115,5300922,1,7871126,1571818,1494664,1436437,8942039,10241.5229299651,354.24872108289196,155.0667953141145,0.621
50,LK Altenkirchen,2010,1123789,0.0,1376873,5552165,0.209183787284243,"7,36313E+14","1,78766E+14","1,60925E+13",1331788,"1,27636E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
51,LK Altenkirchen,2011,9765194,0.0,1365353,5698876,0.233864211896854,"7,36702E+14","1,78779E+14","1,60947E+14",1313131,"1,27704E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
52,LK Altenkirchen,2012,923658,0.0,1243539,5523074,0.319005981327695,"7,38043E+14","1,78821E+14","1,61023E+14",1068891,"1,26176E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
53,LK Altenkirchen,2013,8666333,0.0,126098,"4,78245E+14",0.376763300855522,"7,38953E+14","1,7885E+14","1,61074E+14","1,65621E+14","1,25016E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
54,LK Altenkirchen,2014,8114746,0.0,6471389,555665,3,7304899,1656087,1485613,1255743,"1,26192E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
55,LK Altenkirchen,2015,8581317,0.0,5865651,5916597,7,7757442,2029075,187924,1242472,"1,23861E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
56,LK Altenkirchen,2016,8093074,0.0,6178114,5586309,2,7361248,1614653,1493976,104645,"1,24179E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
57,LK Altenkirchen,2017,8118336,0.0,7289511,5531472,1,7193246,175455,1640183,1148052,"1,23767E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
58,LK Altenkirchen,2018,7236647,0.0,5826028,6399832,10,8248244,1708857,1563117,1242047,"1,22132E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
59,LK Altenkirchen,2019,6431186,0.0,1055065,6203527,12,8017887,192.59,1729225,9862316,"1,19508E+14",4957.12194101652,82.11516264224903,201.4537459760772,0.678
60,LK Altmarkkreis Salzwedel,2010,1085511,0.0,2435312,5197579,"1,96707E+14","7,64007E+14","1,79642E+14","1,62485E+14",1710893,"1,37184E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
61,LK Altmarkkreis Salzwedel,2011,835042,0.0,0.8084932,4926265,"2,06303E+14","7,65519E+14","1,7969E+14","1,6257E+14",1969209,"1,39266E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
62,LK Altmarkkreis Salzwedel,2012,7837392,0.0,0.4692945,4927775,"2,19825E+14","7,67649E+13","1,79757E+14","1,6269E+14",1419226,"1,36327E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
63,LK Altmarkkreis Salzwedel,2013,"1,79989E+14",0.0068831906179371,"8,57225E+14",5205514,0,767715,1668635,1537651,"1,81302E+14","1,33895E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
64,LK Altmarkkreis Salzwedel,2014,9544642,0.0,4151848,4865153,0,7537505,167777,1535087,1825856,"1,37389E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
65,LK Altmarkkreis Salzwedel,2015,8794184,0.0,3796919,5202606,1,7721339,1968165,1872848,1603426,"1,34038E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
66,LK Altmarkkreis Salzwedel,2016,1023683,0.0,4422251,4840979,0,7300603,174547,1574834,1518148,"1,33926E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
67,LK Altmarkkreis Salzwedel,2017,9467617,0.0,2769584,427006,0,6456272,1304465,1145789,1311487,"1,34708E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
68,LK Altmarkkreis Salzwedel,2018,9106554,0.0,3365097,4915682,0,7116687,180095,1686852,1410705,"1,33383E+14",4960.87655858841,112.47233543362319,35.90040648505041,0.645
